Model,RMSE,MAE,MAPE,RÂ²,Directional_Accuracy_%
Naive_Persistence_Train,0.8671212571478867,0.41897520443154834,0.5926724359030852,0.9981302546062552,52.75005495713344
Naive_Persistence_Val,0.5349205302187783,0.30855072463768113,0.5302056540202315,0.9963029718862588,53.30083014889973
Naive_Persistence_Test,0.48561279491934944,0.2556738242655776,0.5378326717293224,0.9970343308711525,50.61923583662714
Naive_Drift_Train,0.8676066120109759,0.41830701264729775,0.5917690074687609,0.9981281609106217,52.75005495713344
Naive_Drift_Val,0.5357552005849894,0.30770268384347793,0.5287263770748171,0.9962914254709708,53.30083014889973
Naive_Drift_Test,0.4864111132389049,0.25583457839513624,0.5381414649818906,0.9970245720918387,50.61923583662714
Naive_Mean_Train,20.053440625119208,16.807376071566303,27.491719867361347,-1.3794574671432969e-06,1.4332820400087931
Naive_Mean_Val,14.72489203698394,13.289408853037449,25.13516656908038,-1.8014215087909884,1.528528132823824
Naive_Mean_Test,23.67002377696242,21.926614833042873,51.535421381589906,-6.045954636705659,2.160737812911726
Naive_MA5_Train,1.3724622686895707,0.7305482282599138,1.030295094358048,0.9953159272273328,51.16728951417894
Naive_MA5_Val,0.82193287795475,0.5314967061923584,0.912988746123745,0.9912713530836924,51.73277111608907
Naive_MA5_Test,0.6371946617930196,0.4028649716769859,0.8453831968778704,0.9948939306159,48.31357048748353
Naive_MA22_Train,2.5011983541054073,1.4517544743131658,2.045057972375125,0.9844432427633885,50.217630248406245
Naive_MA22_Val,1.455291499717172,1.0201489399928139,1.7557283252872664,0.9726363387356104,49.545394650151536
Naive_MA22_Test,0.9937127119289654,0.6995854540664183,1.4583643206800803,0.9875816428646476,47.72068511198946
